NacidoProvincia;Sexo;EstadoCivil;CantHijos;DomicilioPartido;DomicilioProvincia;ComisariaJurisdiccional;Departamental;PoseeLicenciaConducir;TituloSecundario;TipoOtroEstudio;ConoceComputacion;ConoceIngles;ConoceOtros;Edad
BUENOS AIRES;F;Soltera/o;0;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA OESTE 1RA;JEF.DEP.DE SEG.LA MATANZA;NO;BACHILLERATO EN ECONOMÍA Y ADMINISTRACIÓN DE EMPRESAS;No posee;NO;NO;NO;19
BUENOS AIRES;M;Soltera/o;0;GENERAL PUEYRREDON;BUENOS AIRES;CRIA.MAR DEL PLATA 8VA;JEF.DEP.DE SEG.MAR DEL PLATA;SI;BACHILLER CON ORIENTACION EN GESTIÓN Y ADMINISTRACIÓN;No posee;NO;NO;NO;23
BUENOS AIRES;M;Soltera/o;0;VILLA GESELL;BUENOS AIRES;EST.POL.COM.VILLA GESELL 4TA;JEF.DEP.DE SEG.PINAMAR;NO;BACHILLER;No posee;NO;NO;NO;21
BUENOS AIRES;F;Soltera/o;0;LINCOLN;BUENOS AIRES;CRIA.LINCOLN;JEF.DEP.DE SEG.JUNIN;NO;BACHILLERATO EN CIENCIAS SOCIALES;No posee;NO;NO;NO;24
COLON;F;Soltera/o;2;COLON;BUENOS AIRES;EST.POL.COM.COLON;JEF.DEP.DE SEG.PERGAMINO;SI;SECUNDARIO COMPLETO;No posee;NO;NO;NO;25
BUENOS AIRES;M;Soltera/o;1;ALMIRANTE BROWN;BUENOS AIRES;CRIA.ALMIRANTE BROWN 1RA;JEF.DEP.DE SEG.ALTE.BROWN;NO;BACHILLER CON ORIENTACION EN CIENCIAS SOCIALES ESPECIALIZADO EN GESTION DE POLITICAS PUBLICAS;No posee;SI;SI;NO;25
BUENOS AIRES;F;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.QUILMES 3RA;JEF.DEP.DE SEG.QUILMES;NO;ECONOMIA Y ADMINISTRACION;No posee;NO;NO;NO;25
BUENOS AIRES;F;Soltera/o;1;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA SUR 1RA;JEF.DEP.DE SEG.LA MATANZA;NO;BACHILLER;No posee;NO;SI;NO;24
BUENOS AIRES;F;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.QUILMES 3RA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLER CON ORIENTACION EN CIENCIAS SOCIALES;No posee;NO;NO;NO;22
CORRIENTES;M;Soltera/o;0;MORENO;BUENOS AIRES;CRIA.MORENO 8VA;JEF.DEP.DE SEG.MORENO;NO;BACHILLER;No posee;SI;NO;NO;20
BUENOS AIRES;F;Soltera/o;1;BERISSO;BUENOS AIRES;CRIA.BERISSO 4TA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLERATO DE ADULTOS;No posee;NO;NO;NO;24
BUENOS AIRES;M;Soltera/o;0;PERGAMINO;BUENOS AIRES;CRIA.PERGAMINO 3RA;JEF.DEP.DE SEG.PERGAMINO;NO;BACHILLERATO TÉCNICO EN INFORMÁTICA;No posee;SI;SI;SI;20
BUENOS AIRES;M;Casada/o;2;MUN.URB.DE LA COSTA;BUENOS AIRES;CRIA.DE LA COSTA 3RA;JEF.DEP.DE SEG.PINAMAR;SI;BACHILLER EN CIENCIAS SOCIALES;No posee;NO;NO;NO;24
BUENOS AIRES;F;Soltera/o;0;AZUL;BUENOS AIRES;SUBCRIA.CACHARI;JEF.DEP.DE SEG.AZUL;NO;BACHILLERATO EN ECONOMÍA Y ADMINISTRACION;No posee;SI;SI;NO;22
BUENOS AIRES;M;Soltera/o;0;CASTELLI;BUENOS AIRES;EST.POL.COM.CASTELLI;JEF.DEP.DE SEG.DOLORES;NO;BACHILLER EN ECONOMÍA Y ADMINISTRACIÓN;No posee;SI;SI;NO;21
BUENOS AIRES;F;Soltera/o;1;TRENQUE LAUQUEN;BUENOS AIRES;CRIA.TRENQUE LAUQUEN;JEF.DEP.DE SEG.TRENQUE LAUQ.;NO;CIENCIAS SOCIALES ESPECIALIZADO EN GESTIÓN DE POLÍTICAS PUBLICAS;No posee;SI;NO;NO;25
BUENOS AIRES;F;Soltera/o;0;GENERAL PUEYRREDON;BUENOS AIRES;CRIA.MAR DEL PLATA 9NA;JEF.DEP.DE SEG.MAR DEL PLATA;NO;BACHILLER CON ORIENTACION EN INFORMATICA;No posee;NO;NO;NO;20
BUENOS AIRES;F;Soltera/o;0;MERLO;BUENOS AIRES;CRIA.MERLO 1RA;JEF.DEP.DE SEG.MERLO;NO;BACHILLER EN CS SOCIALES ESPECIALIDAD CS POLÍTICAS;No posee;SI;SI;NO;21
BUENOS AIRES;M;Soltera/o;0;MERLO;BUENOS AIRES;CRIA.MERLO 1RA;JEF.DEP.DE SEG.MERLO;NO;BACHILLER CIENCIAS SOCIALES;No posee;SI;SI;NO;21
BUENOS AIRES;F;Soltera/o;0;SAN ISIDRO;BUENOS AIRES;CRIA.SAN MARTIN 1RA;JEF.DEP.DE SEG.SAN MARTIN;NO;TECNICO ELECTRONICO ORIENTADO;No posee;SI;NO;NO;20
BUENOS AIRES;F;Soltera/o;0;MERLO;BUENOS AIRES;CRIA.MERLO 6TA;JEF.DEP.DE SEG.MERLO;NO;ESCUELA DE EDUCACIÓN SECUNDARIA N°23 PIONEROS NARINENSES;No posee;NO;NO;SI;21
BUENOS AIRES;M;Soltera/o;0;MORENO;BUENOS AIRES;CRIA.MORENO 1RA;JEF.DEP.DE SEG.MORENO;SI;TÉCNICO ELECTROMECANICO;Posgrado Completo;NO;NO;NO;20
